ACER,,
"Windows 11 Home x64, preinstalado. 
 Peso 3,49Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
"LENOVO LEGION 9i (83EY006RUS) 18"" 4K IPS GAMING LAPTOP 240Hz ECLIPSE BLACK [Pad Numérico]",USD 6.800,ING
"Processor: 1.8GHz Intel Core Ultra 9 290HX Plus , Memory: 64GB DDR5-5200 RAM, Storage: 2TB SSD M.2 2280 PCIe® 4.0 Performance NVMe®, Display: 18"" WQXGA IPS Low Blue Light 240Hz Display, DisplayHDR™ True Back 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free, 2.5GbE (RJ-45) Wi-Fi® 7, 802.11be 2x2 + BT5.4",,
Video Card: NVIDIA GeForce RTX 5090 24GB GDDR7,,
"Windows 11 Home x64, preinstalado. 
 Peso 3,49Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone",,
MSI GAMER,,
"MSI Cyborg 15 (B2RWEKG-293US) 15,6"" FULL HD IPS GAMING LAPTOP TRANSLUCENT BLACK",USD 1.600,STK
"Processor: 1.8 GHz Base, 4.0 GHz Turbo Intel Core 7 Series 240H Up to 5.2GHz Ten-Core, Memory: 16GB DDR5-5600 MHz RAM, Storage: 1TB NVMe Gen4x4 M.2 SSD, Display: 15.6"" Full HD IPS (1920x1080) 144Hz, 10/100/1000Mbps, Intel Wireless Wi-Fi 6E AX211, Bluetooth 5.3",,
Video Card: NVIDIA GeForce RTX 5050 Graphics Card,,
"Windows 11 Home x 64 bits, preinstalado
 Peso 1,95Kg, Integrated 720p HD Privacy Shutter Front Camera",,
"MSI Crosshair 16 HX AI (D2XWFKG-210US) 16"" Gaming Laptop Computer - Cosmo Gray",USD 2.400,STK
"Processor: 1.8GHz Intel Core Ultra 7 255HX, Memory: 32GB DDR5-5600 RAM, Storage:1TB NVMe Gen4x4 M.2 SSD, Display: 16"" QHD+ WVA 240Hz, Intel Wi-Fi 6E AX211, Bluetooth 5.3, 10/100/1000 Network",,
Video Card: NVIDIA GeForce RTX 5060 Graphics Card,,
"Windows 11 Home x 64 bits, preinstalado
 Peso 2,50Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter",,
"MSI Crosshair 16 Max (E2WFK-027US) 16"" QHD+ OLED IPS GAMING LAPTOP BLACK",USD 3.000,STK
"Processor: Intel® Core™ Ultra 9 275HX (24 Cores, 2.1 - 5.4 GHz), Memory: 32GB DDR5-5600 RAM, Storage:1TB NVMe Gen4x4 M.2 SSD, Display: 16"" QHD+(2560x1600) 240Hz IPS Panel, Intel Wi-Fi 6E AX211, Bluetooth 5.3, 10/100/1000 Network",,
Video Card: NVIDIA® GeForce RTX™ 5060 8GB GDDR7,,
"Windows 11 Home x 64 bits, preinstalado
 Peso 3,10Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter",,
"MSI RAIDER 16 Max HX (RAIDER16MXHXB4) 16"" OLED GAMING LAPTOP 240Hz CORE BLACK",USD 3.400,STK
"Processor: 1.8GHz Intel Core Ultra 9 Series 2 290HX Plus Twenty-Four-Core, Memory: 32GB DDR5-5600 RAM, Storage: 1TB PCIe Gen4 x4 NVMe M.2 SSD, Display: 16"" QHD+ OLED (2560x1600) 240Hz, 2.5GbE LAN, Intel Killer Wi-Fi 7 BE1750, Bluetooth 5.4, Per-key RGB",,
Video Card: NVIDIA GeForce RTX 5070 Ti 12GB GDDR7,,
"Windows 11 Home x 64 bits, preinstalado
 Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter",,
"MSI Crosshair 16 Max (E2WGXK-028US)(CROSSHAIR16MAXH) 16"" OLED GAMING LAPTOP 165Hz CORE BLACK",USD 2.900,STK
"Processor: 1.8GHz Intel Core Ultra 9 290HX Plus, Memory: 32GB DDR5-5600 RAM, Storage: 1TB PCIe Gen4 x4 NVMe M.2 SSD, Display: 16"" QHD+ OLED 165Hz, Intel Wi-Fi 6E AX211, Bluetooth 5.3, 10/100/1000 Network",,
Video Card: NVIDIA GeForce RTX 5070 12GB GDDR7,,
"Windows 11 Home x 64 bits, preinstalado
 Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter",,
"MSI Stealth (B3WH-059US) 16"" QHD+ OLED GAMING LAPTOP 240hz CORE BLACK",USD 4.000,STK
"Processor: Intel® Core™ Ultra 9 386H (16 Cores, 1.6 - 4.9 GHz), Memory: 32GB DDR5 5600MHz, Storage: 2TB NVMe SSD, Display: 16"" 16:10 QHD+ (2560 x 1600) OLED, 240hz Display, 100% DCI-P3, Wi-Fi 7 and Bluetooth® v6, IR FHD type (30fps@1080p) with HDR, 4-Zone RGB Gaming Keyboard",,
Video Card: NVIDIA GeForce RTX 5070 12GB GDDR7,,
"MSI RAIDER 16 Max HX (B2WI-003US) (RAIDER16MXHXB3) 16"" OLED GAMING LAPTOP 240Hz CORE BLACK",USD 3.800,STK
"Processor: 1.8GHz Intel Core Ultra 9 Series 2 290HX Plus Twenty-Four-Core, Memory: 32GB DDR5-6000 RAM, Storage: 1TB PCIe Gen4 x4 NVMe M.2 SSD, Display: 16"" QHD+ OLED (2560x1600) 240Hz, 2.5GbE LAN, Intel Killer Wi-Fi 7 BE1750, Bluetooth 5.4, Per-key RGB",,
Video Card: NVIDIA GeForce RTX 5080 16GB GDDR7,,
"Windows 11 Home x 64 bits, preinstalado
 Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter",,
"MSI Vector 16 HX AI (A2XWIG-420US) (VECTOR16HXA2420) 16"" QHD+ GAMING LAPTOP COSMO GRAY",USD 3.600,STK
"Processor: Intel Core Ultra 9 275HX (2.1GHz - 5.4GHz) , Memory: 32GB LPDDR5 5600 megahertz RAM, Storage: 1TB PCIe® Gen 4 Solid State Drive, Display: 16"" QHD+ WVA 240Hz Display, 2.5GbE LAN, Killer WiFi 7 BE1750, Bluetooth 5.4",,
Video Card: NVIDIA GeForce RTX 5080 16GB GDDR7,,
"Windows 11 Home x 64 bits, preinstalado
 Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter",,
"MSI RAIDER 16 Max HX B2WJ-002US (RAIDER16MXHXB20) 16"" OLED GAMING LAPTOP 240Hz CORE BLACK",USD 4.500,STK
"Processor: 1.8GHz Intel Core Ultra 9 Series 2 290HX Plus Twenty-Four-Core, Memory: 32GB DDR5-5600 RAM, Storage: 1TB PCIe Gen4 x4 NVMe M.2 SSD, Display: 16"" QHD+ OLED (2560x1600) 240Hz, 2.5GbE LAN, Intel Killer Wi-Fi 7 BE1750, Bluetooth 5.4, Per-key RGB",,
Video Card: NVIDIA GeForce RTX 5090 24GB GDDR7,,
"Windows 11 PRO x 64 bits, preinstalado
 Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter",,
"MSI Raider 18 HX 18""  (18A2XWIG-420US) QHD+ GAMING LAPTOP 240Hz BLACK",USD 3.700,STK
"Processor: base 2.1 GHz Intel® Core™ Ultra 9 285HX up 5,5 GHz (24 Cores), Memory: 32GB DDR5-5600 megahertz RAM, Storage: 1TB PCIe® Gen 4 Solid State Drive, Display: 18"" QHD+ (2560 x 1600) 240Hz 100% DCI-P3 IPS-Level Display, Killer Wi-Fi 7 BE1750 & Bluetooth 5.4",,
Video Card: NVIDIA® GeForce RTX™ 5080 Laptop GPU (16GB GDDR7),,
"Windows 11 Home x 64 bits, preinstalado
 Peso 3,60Kg, Integrated IR FHD Webcam with Privacy Shutter",,
DELL ALL IN ONE,,
"DELL (DEC24260-7157WHT) 23.8"" FULLHD TOUCHSCREEN ALL IN ONE WHITE",USD 1.950,STK
"Processor: Intel® Core Ultra 7 processor 355, Memory: 16GB DDR5 5600 MT/s RAM, Storage: 1TB M2 PCIe NVMe SSD, Video Card: Integrated Intel® Graphics, Display: 23.8"" FHD Touchscreen (60 to 75 Hz), WVA, Anti-Glare, 300 nit, 99% sRGB, Pen Support, 10/100/1000 Mbps RJ-45 Ethernet, Intel® Wi-Fi 7, BE213 802.11be, Bluetooth® 6.0 wireless card",,
"Windows 11 Home x64 bits, preinstalado.
 Dell Pro 5 Keyboard and Mouse - KM526 - US English - Light Ash",,
"DELL (DEC27260-7201WHT) 27"" FULLHD IPS TOUCHSCREEN ALL IN ONE WHITE",USD 2.500,STK
"Processor: Intel® Core Ultra 7 processor 355 (Series 3), Memory: 32GB, 1x32GB, DDR5, 5600 MT/s RAM; Storage: 1TB PCIe® NVMe™ M.2 Solid State Drive, Video card: Integrated Intel® Graphics, Display: 27"" Touch, FHD 1920x1080 (60 to 100 Hz), WVA, TrueLife, 250 nit, 99% sRGB, Pen Support, 10/100/1000 Mbps RJ-45 Ethernet, Intel® Wi-Fi 7, BE213 (2x2), 802.11be, Bluetooth® 6.0 wireless card",,
"Windows 11 Home x64 bits, preinstalado.
 Dell Pro 5 Keyboard and Mouse - KM526 - US English - Light Ash",,
HP ALL IN ONE,,
"HP OmniStudio X (27-cw0054) 27"" FULL HD TOUCHSCREEN ALL IN ONE JET BLACK",USD 2.300,STK
"Processor: 4.6 gigahertz AMD Ryzen 7 4000 Series 445 (6-core), Memory: 16GB LPDDR5x 5600 MT/s RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 Solid State Drive, Video Card: AMD Radeon 840M, Display: 27"" FHD (1920 x 1080), touch, IPS, three-sided micro-edge, anti-glare, 300 nits, 10/100/1000/2500 GbE NIC, Wi-Fi 7 (2x2) and Bluetooth 6.0 wireless card",,
"Windows 11 Home x64 bits, preinstalado.
 5 MP IR camera with temporal noise reduction, Integrated dual array digital microphones, HP 275C USB black wireless keyboard and mouse combo",,
"HP OmniStudio X (27-cy0127c) D2QL7AA#ABA 27"" FULL HD TOUCHSCREEN ALL IN ONE WHITE",USD 1.850,STK
"Processor: Intel® Core™ Ultra 5 325 (up to 4.5 GHz with Intel® Turbo boost Technology (8 cores), Memory: 16GB DDR5-5600 MT/s RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Video Card: Integrated Intel® Graphics, Display: 27"" diagonal, FHD (1920 x 1080), touch, 75 Hz, WLED, IPS, anti-glare, Low Blue Light, 350 nits display, Realtek RTL8111HSH-CG GbE NIC, Wi-Fi 7 (2x2) + Bluetooth® 6.0 wireless card",,
"Windows 11 Home x64 bits, preinstalado.
 HP 1080p FHD IR camera with HDR auto switch and temporal noise reduction, HP 275C USB White Wireless Keyboard and Mouse Combo",,
"HP OmniStudio X (27-cx0044) 27"" QHD TOUCHSCREEN ALL IN ONE ECLIPSE GREY",USD 2.500,STK
"Processor: 4.7 gigahertz Intel Core Ultra 7 Series 356H (16-core), Memory: 16GB DDR5 MT/s RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Copilot+ PC Video Card: Intel Graphics, Display: 27"" QHD (2560 x 1440) Neo LED, Wi-Fi 7 (2x2) and Bluetooth 6.0 wireless card",,
"Windows 11 Home x64 bits, preinstalado.
 HP 1080p FHD IR camera with HDR auto switch and temporal noise reduction, HP 675C multi-device USB gray wireless keyboard and mouse combo",,
"HP OMNISTUDIO (27-cy0077c) Copilot+ PC 27"" FULL HD TOUCHSCREEN ALL IN ONE WHITE",USD 2.800,STK
"Processor: Intel® Core™ Ultra 7 355 (up to 4.7 GHz with Intel® Turbo Boost Technology, 8 cores), Memory: 32GB DDR5-5600 MT/s RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Video Card: Integrated Intel® Graphics, Display: 27"" FHD (1920 x 1080), touch, 75 Hz, WLED, IPS, anti-glare, Low Blue Light, 350 nits, Wi-Fi 7 (2x2) and Bluetooth® 6.0 wireless card, Realtek RTL8111HSH-CG GbE NIC, Rear: 2 USB 2.0 Type-A, 1 USB Type-A 10Gbps signaling rate, 2 USB Type-C® 20Gbps signaling rate, 1 HDMI 2.0b, 1 RJ-45, Headphone/MIC Combo Jack",,
"Windows 11 Home x64 bits, preinstalado.
 HP 1080p FHD IR camera with HDR auto switch and temporal noise reduction, Integrated dual array digital microphones",,
"HP OmniStudio X (32-C1014) B61VMAA#ABA 31,5"" 4K UHD ALL IN ONE METEOR SILVER",USD 2.900,ING
"Processor: Intel® Core™ Ultra 7 Processor 258V, up to 4.8GHz, (8-core) /8-Thread, 12MB Intel Smart Cache, Memory: 32GB LPDDR5X 8533 megahertz RAM, Storage: 1TB PCIe Gen 4 SSD, Video Card: Intel® ARC Graphics, Display: 31.5"" 4K UHD (3840 x 2160) LED IPS Anti-glare, Ethernet Wi-Fi 7, Bluetooth",,
"Windows 11 Home x64 bits, preinstalado.
 5 MP IR Camera with Temporal Noise Reduction, HP Meteor Silver Wireless Keyboard and Mouse
 Height Adjust Stand",,
LENOVO ALL IN ONE,,
"Lenovo IdeaCentre AIO 27"" (F0JD001VUS) 27"" FHD IPS LCD Touch-Screen All-In-One Luna Grey",USD 2.050,STK
"Processor: 2 gigahertz AMD Ryzen AI 330 Series, 4-core (quad-core), Memory: 16GB DDR5-5600 MT/s RAM, Storage: 512GB PCIe® NVMe™ M.2 SSD, Video Card: AMD Radeon 820M, Display: 27"" Full HD (1920 x 1080) LCD IPS TouchScreen Wi-Fi, Bluetooth, High Definition (HD) Audio by HARMAN",,
"Windows 11 Home x64 bits, preinstalado.
 Front Facing Camera 5 Megapixels, Built-In Microphone
 Wireless Keyboard and Mouse,",,
"Lenovo IdeaCentre AIO 27"" (F0JH0004US) 27"" 2K IPS LCD Touch-Screen All-In-One Luna Grey",USD 2.500,STK
"Processor: 2.3 gigahertz Intel Core Ultra 7 Series 355 (8-core), Memory: 16GB LPDDR5X 7467 megahertz RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Video Card: Intel Graphics, Display: 27"" QHD (2560 x 1440) LCD IPS TouchScreen Wi-Fi, Bluetooth, High Definition (HD) Audio by HARMAN",,
"Windows 11 Home x64 bits, preinstalado.
 Front Facing Camera 5 Megapixels, Built-In Microphone
 Wireless Keyboard and Mouse,",,
"Lenovo Yoga AIO 32ILL10 (F0HX000MUS) 31.5"" 4K UHD IPS ALL IN ONE STONE GRAY",USD 2.700,STK
"Processor: Intel® Core™ Ultra 7 258V (LPE-cores up to 3.70 GHz P-cores up to 4.80 GHz / 32 GB MOP), Memory: 32GB LPDDR5X-8533MT/s RAM, Storage: 1TB SSD M.2 2280 PCIe Gen4 TLC, Display: 31.5"" UHD (3840 x 2160), IPS, Glare, Non-Touch, HDR 600, 97% DCI-P3, 495 nits, 60Hz, 3-side Borderless, Wi-Fi 7 2x2 BE 320MHz & Bluetooth® 5.4",,
Video Card: NVIDIA® GeForce RTX™ 4050 6GB GDDR6,,
"Windows 11 PRO x64 bits, preinstalado.
 5 MP IR Camera with Temporal Noise Reduction, HP Meteor Silver Wireless Keyboard and Mouse
 Height Adjust Stand",,
DELL MONITOR 4K,,
"DELL MONITOR Plus (S2725QS) 27"" 4K 3840 x 2160 120hz 16:9 Ash White",USD 890,ING
"DELL MONITOR Plus (S3225QS) 32"" 4K 3840 x 2160 120hz 16:9 Ash White",USD 1.020,STK
"4K monitor with up to 120Hz refresh rate and dual 5W speakers for elevated entertainment.
 2 HDMI ports (HDCP 1.4 and 2.2) (Supports up to UHD 3840 x 2160, 120 Hz, FRL, HDR, VRR as per specified in HDMI 2.1)
 1 DisplayPort 1.4 (HDCP 1.4 and 2.2) (Supports up to UHD 3840 x 2160, 120 Hz, HDR, VRR)",,
