ACER,,
"Processor: 3.3 gigahertz Intel Core Ultra 9 Series 288V (8-core), Memory: 32GB LPDDR5X 8533 megahertz RAM, Storage: 1TB PCIe NVMe M.2 Solid State Drive, Video Card: Integrated Intel Arc, Display: 14"" Full HD+ (1920 x 1200) LED Touchscreen Brightness 300 nits, Wi-Fi 7, Bluetooth",,
"Microsoft® Windows 11 Home (64-bit), preinstalado
 Peso 1.64Kg, 1080p. Integrated Webcam with dual-array microphone",,
"DELL (LD15260-5632BLK) 15.6"" TOUCHSCREEN LAPTOP CARBON BLACK",USD 1.150,STK
"Processor: Intel® Core™ Ultra 5 Processor 225U, Memory: 16GB DDR5 5600MT/s RAM, Storage: 1 TB M.2 PCIe NVMe SSD, Video Card: Integrated Intel® Graphics, Display: 15.6"" FHD Touchscreen 60Hz, WVA, Anti-Glare, 220 nits, Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax, MU-MIMO, Bluetooth 5.3",,
"Windows 11 Home x 64 bits, preinstalado
 Peso 1.86Kg, Integrated Widescreen HD (720p) Webcam",,
"DELL (LD15260-7140BLK) 15,6"" FUL HD TOUCHSCREEN LAPTOP BLACK [Pad Numérico]",USD 1.300,STK
"Processor: Intel® Core™ Ultra 7 Processor 255U, Memory: 16GB, DDR5, 5600MT/s RAM, Storage: 1TB PCIe® NVMe™ M.2 Solid State Drive, Video Card: Integrated Intel® Graphics, Display: 15.6"", Touch, FHD, 60Hz, WVA, Anti-Glare, 220 nits, Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax, MU-MIMO, Bluetooth(R) wireless card",,
"Microsoft® Windows 11 Home (64-bit), preinstalado
 Peso 1,94Kg, 1280 x 720 (HD), 30 FPS RGB Webcam, Inbuilt Microphone",,
"DELL (LDC15250-7427BLK) 15.6"" 2K TOUCHSCREEN LAPTOP CARBON BLACK",USD 1.020,STK
"Processor: 1.7 gigahertz Intel 13th Generation Core i7 1355U up to 5 gigahertz (10-core), Memory: 16GB DDR5 4400MHz RAM, Storage: 512GB M.2 PCIe NVMe Solid State Drive, Video Card: Intel UHD Graphics Integrated, Display: 15.6"" Full HD (1920 x 1080) LED IPS Touch Screen Refresh Rate: 60Hz Anti-glare Brightness: 220 nits, Wi-Fi 6, Bluetooth",,
